"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","question_order","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","71","","","","","","",""
"","","","","","html-button-response","1","2.1.0","9632","9559","
      <p><strong>Welcome to the study!</strong></p>
      <p>Click the button below to continue to the 'Experiment Consent Form':</p>
      ","0","","","",""
"","","","","","survey-multi-choice","2","2.1.0","13388","3752","","{""DataConsent"":""Yes""}","[0]","","",""
"","","","","","html-button-response","3","2.1.0","18045","4655","<p><strong>Instructions</strong>
      <p style=""color: white"";>.</p>
      <p>At the start of every trial, a '+' sign will appear at the centre of the screen, telling you to focus on the centre.</p>
      <p style=""color: white"";>.</p>
      <p style=""color: white"";>.</p>
      <p><div style=""font-size:60px;"">+</div></p>
      <p style=""color: white"";>.</p>
      <p style=""color: white"";>.</p>

      <p>Click <strong>'Next'</strong> to continue to the next instructions:<p>
      ","0","","","",""
"","","","","","html-button-response","4","2.1.0","29609","11563","<p>After, a picture will appear of a scene for a couple of seconds. One of the people's faces will be covered by a white circle like this:</p>
      <p><img src='instructions_example_img.png' width='300'></img></p>
      <p><strong>No response is needed.</strong></p>
      <p>Just think about what is happening in the scene and what facial expression is behind the white circle.</p>
      <p>Click <strong>'Next'</strong> to continue to the next instructions:<p>
      ","0","","","",""
"","","","","","html-button-response","5","2.1.0","39936","10325","<p>The screen will automatically change to the response screen.</p>
      <p style=""color: white"";>.</p>
      <p>You will have the option of choosing between these 3 different emojis:</p>
      <p><img src='6basicemotions.png' width='300'></img></p>
      <p>Press the key <strong>[f, g, h]</strong> that corresponds to the emoji you think <strong>BEST represents the covered face</strong> from the last scene.</p>
      <p style=""color: white"";>.</p>
      <p>Click <strong>'Next'</strong> to continue to the next instructions:<p>
      ","0","","","",""
"","","","","","html-button-response","6","2.1.0","43905","3968","<p>You will do this for multiple trials.</p>
      <p>Try to respond as soon as you know the answer.</p>
      <p style=""color: white"";>.</p>
      <p>Once all trials are completed, you will be asked to fill out a quick survey.</p>
      <p>All responses will be completely anonymous.</p>


      <p style=""color: white"";>.</p>
      <p>Click <strong>'Start'</strong> to start the experiment!:<p>
      ","0","","","",""
"","","","","","html-keyboard-response","7","2.1.0","47910","null","<div style=""font-size:60px;"">+</div>","null","","fixation","",""
"","","","","","image-keyboard-response","8","2.1.0","52915","null","happy_img/happyChild5.png","null","","scene","happy.png",""
"","","","","","image-keyboard-response","9","2.1.0","53788","869","6basicemotions.png","f","","response","f","true"
"","","","","","html-keyboard-response","10","2.1.0","55804","null","<div style=""font-size:60px;"">+</div>","null","","fixation","",""
"","","","","","image-keyboard-response","11","2.1.0","60807","null","happy_img/happyChild8.png","null","","scene","happy.png",""
"","","","","","image-keyboard-response","12","2.1.0","61170","361","6basicemotions.png","f","","response","f","true"
"","","","","","html-keyboard-response","13","2.1.0","63172","null","<div style=""font-size:60px;"">+</div>","null","","fixation","",""
"","","","","","image-keyboard-response","14","2.1.0","68175","null","sad_img/sadChild5.png","null","","scene","sad.png",""
"","","","","","image-keyboard-response","15","2.1.0","69647","1471","6basicemotions.png","g","","response","g","true"
"","","","","","html-keyboard-response","16","2.1.0","71648","null","<div style=""font-size:60px;"">+</div>","null","","fixation","",""
"","","","","","image-keyboard-response","17","2.1.0","76651","null","sad_img/sadChild7.png","null","","scene","sad.png",""
"","","","","","image-keyboard-response","18","2.1.0","77086","433","6basicemotions.png","g","","response","g","true"
"","","","","","html-keyboard-response","19","2.1.0","79088","null","<div style=""font-size:60px;"">+</div>","null","","fixation","",""
"","","","","","image-keyboard-response","20","2.1.0","84091","null","angry_img/angryChild4.png","null","","scene","angry.png",""
"","","","","","image-keyboard-response","21","2.1.0","84492","399","6basicemotions.png","h","","response","h","true"
"","","","","","html-keyboard-response","22","2.1.0","86493","null","<div style=""font-size:60px;"">+</div>","null","","fixation","",""
"","","","","","image-keyboard-response","23","2.1.0","91495","null","happy_img/happyChild6.png","null","","scene","happy.png",""
"","","","","","image-keyboard-response","24","2.1.0","91894","397","6basicemotions.png","f","","response","f","true"
"","","","","","html-keyboard-response","25","2.1.0","93897","null","<div style=""font-size:60px;"">+</div>","null","","fixation","",""
"","","","","","image-keyboard-response","26","2.1.0","98901","null","angry_img/angryChild7.png","null","","scene","angry.png",""
